tweet,sentiment
breaking kamala harris has been caught cheating in the election all students at every arizona college received a text message telling them to register to vote and to vote for kamala harris this is illegal and a breach of student privacy,
breaking the residents of north carolina are so pissed off at kamala harris that they made a cartoon roasting her,
" musk theres no point in criticizing kamala harris, shes simply the face of a much larger machine shell say whatever is on the teleprompter shell get stuck if the teleprompter breaksits whoever controls the teleprompter who is in charge tucker who is that musk its not any one mastermind kamala is a sort of marionette with somewhere north of 100 handlers tucker i bet you know 80 of them musk i probably know most of them ",
"so good howard stern ends his interview with vp kamala harris by saying, i think youd be a great president youre compassionate i love your experience as a prosecutor  i want to thank you i love you as vp i want to encourage anyone who thinks similarly to me to vote",
"jd vance the view asked kamala harris one thing you would do differently than joe biden you know what she says i cant think of anything off the top of my head in her defense, im not sure she can think of anything off the top of her head",
ive told you a million times not to exaggerate,
"if kamala harris cant handle hardball interviews, how is she gonna take on vladimir putin, kim jongun, president xi   ",
"must watch documentary  arrested by    cheree peoples and her daughter shayla tell the story of how kamala harriss policy as california attorney general to arrest parents for truancy destroyed their lives and the lives of many other single minority women as well   shayla suffered from a debilitating chronic illness, sickle cell anemia the disease landed her repeatedly in the hospital to receive blood transfusions and emergency medical care to manage her pain all of shaylas absences were, in fact, excused by her school and buttressed with ample documentation from childrens hospital none of this mattered to kamala harris, who wanted more kids in school to get more money from the state and federal governments, who provided funding according to attendance rates   kamala had cheree arrested, handcuffed and perp walked in her pajamas in front of her neighbors and the media who had been tipped off outraged by the injustice, cheree fought the charges in court for the next two years, costing her job and her home i am not a political person, says cheree but i want people to know what kamala harris did to me if she does it to me, she will abuse anyone if you give her the power my message to all americans, especially black americans is, do not trust kamala harris",
"kamala harris tells covid fear merchant and shutin howard stern that that trump is too weak to lead  so the guy that took a bullet and then stood with his fist in the air shouting fight fight fight, is weak  the man who has battled through an unprecedented lawfare assault architected by the bidenharris doj to throw him in prison for 700 years, is weak  the candidate who democrats impeached twice, attempted to bankrupt, and even toss him off the ballot in multiple stateand still he comes back for more, is weak  this is just shameful and idiotic at this point her campaign is about nothing but lies and gaslighting",
"trump says that both joe biden and kamala harris should be removed from office under the 25th amendment, but hes not sure who would become president then as 3rd in line under the constitution",
the lastminute media blitz by kamala harris is going very poorly for her total backfire no wonder they tried to avoid this,
"le han hecho una entrevista a kamala harris en el programa 60 minutos como le ha ido bastante mal, la cbs ha colgado en youtube una versión editada de la misma aquí un ejemplo de uno de los fragmentos alterados",
"so far today we learned that trump secretly gave away our covid supplies to putin, that trump quashed the 4500 tips about kavanaughs rape allegations,  that kamala harris is going to expand medicare to cover home care for seniors and hearingvision   so those are your options",
" jd vance the view asked kamala harris one thing you would do differently than joe biden you know what she says i cant think of anything off the top of my head in her defense, im not sure she can think of anything off the top of her head",
"breaking kamala harris just received an enormous ovation when she walked onstage for the view this morning while donald trump is ducking the media, kamala harris is winning the hearts and minds of the american people retweet so all americans see this",
"musk no tiene sentido criticar a kamala harris, ella es simplemente la cara de una máquina mucho más grande ella dirá lo que sea que esté en el teleprompter se quedará atascada si el teleprompter se rompe es quien controla el teleprompter quien está a cargo  tucker quién es ese  musk no se trata de un cerebro único kamala es una especie de marioneta con más de 100 personas a su cargo  tucker apuesto que conoces a al menos 80 de ellos  musk probablemente conozco a la mayoría de ellos",
