tweet,sentiment
"michel barnier et ses ministres sont confrontés à la colère de nombreux et divers secteurs
grève sncf, aéroports, agriculteurs  le gouvernement face à une explosion des mouvements sociaux
",NEGATIVE
"michel barnier et son gouvernement, dans un effort louable pour rendre la vie des médecins encore plus intéressante, ont décidé de publier un décret qui pourrait bien être le dernier clou dans le cercueil du secret médical 

imaginez le scénario  vous allez voir votre médecin pour une petite gêne, disons, quelque chose dembarrassant à la fin de la consultation, au lieu de recevoir simplement une ordonnance avec le nom dun médicament, vous découvrez que votre médecin doit maintenant écrire en clair hémorroïdes ou infection urinaire récurrente sur le bout de papier et pourquoi, me demanderezvous  pour que lassurancemaladie puisse vérifier si ce médicament est bien justifié parce que, vous savez, nous navons pas suffisamment de problèmes de confidentialité en 2024

barnier et ses acolytes semblent penser que notre système de santé a tellement de temps libre que les médecins peuvent désormais jouer au petit secrétaire, détaillant pourquoi ils prescrivent tel ou tel traitement ah, mais cest pour le bien commun  diraientils oui, bien sûr, comme la fois où ils ont décidé que le brexit serait une partie de plaisir

et pendant ce tempslà, les médecins, déjà accablés par une charge de travail qui ferait pleurer un robot, doivent maintenant sassurer que chaque prescription est accompagnée dune justification écrite, histoire déviter que ladministration ne les accuse de gaspillage des fonds publics bravo, vraiment 

on pourrait presque croire que ce décret est une blague, une farce administrativobureaucratique pour voir jusquoù on peut pousser les limites de labsurde dans la gestion de la santé publique mais non, cest bien réel le secret médical, ce rempart de la dignité et de la confidentialité des patients, est devenu un obstacle à la machine bien huilée de la paperasse administrative",NEGATIVE
" michel barnier affaibli
il est issue dune minorité  son gouvernement nest que le résultat du dénis démocratique macron et de sa clique

barnier et ce gouvernement nont jamais été et ne seront jamais forts  ils ne tiennent que grâce au rn  la nouvelle béquille",NEGATIVE
"plusieurs ministres et élus qui soutiennent le gouvernement plaident pour la suppression dun jour férié, afin de faire rentrer des recettes fiscales mais michel barnier, lui, freine
",NEGATIVE
" cest facile de dénoncer avec un petit mot dhumour la question êtesvous favorable à une limitation immédiate du droit de grève dans les services publics parce que je ne suis pas sûr que le gouvernement de michel barnier ne capitule pas à nouveau, lui aussi",NEGATIVE
" flash  un majordome de michel barnier a été interpellé avec 51g de cocaïne sur lui hier soir mauvais timing, le gouvernement a présenté son plan de lutte contre le narcotrafic ce midi 
",NEGATIVE
"alors quil peine à supprimer 2 000 postes de  dans le budget 2025, le gouvernement de michel  serait bien inspiré de se tourner vers son homologue argentin

",NEGATIVE
"2n
en quelques mots le bilan est fait
lhorreur de lallemagne nazie avait fait le choix dassumer totalement son programme dès 1933, et la france 

michel barnier, bruno retailleau et tout le gouvernement nont pas compris que leurs noms",NEGATIVE
"reculer cest renoncer  le gouvernement de michel barnier  impose contre lislamogauchisme et ses proxis lfi le match france israël au stade de  reste 60000 places à occuper,jeunesses de france ne ratez pas ce rendez vous de la résistance à la barbariemobilisez vous contre le fascisme de lislamogauchisme",NEGATIVE
"macron lâche 3 milliards à zelensky le jour où le gouvernement barnier demande aux français 60 milliards déconomies

ce sera un budget difficile, sérieux et responsable, a promis le pion de bruxelles michel barnier lors de la présentation du projet de loi finances 2025 ",NEGATIVE
